datetime,open,high,low,close,volume
2024-10-30 15:59:00,229.88000,230.23000,229.67999,230.14000,1371754
2024-10-30 15:58:00,229.70000,229.89999,229.66000,229.88000,520357
2024-10-30 15:57:00,230.00000,230.00000,229.57000,229.67000,530395
2024-10-30 15:56:00,229.71001,230.14999,229.56000,230.00999,351485
2024-10-30 15:55:00,230.09000,230.17000,229.59000,229.75000,530852
2024-10-30 15:54:00,230.53999,230.55000,230.02000,230.09000,450739
2024-10-30 15:53:00,230.60001,230.60330,230.52090,230.53999,108887
2024-10-30 15:52:00,230.77000,230.80000,230.60000,230.60001,381145
2024-10-30 15:51:00,230.65500,230.84000,230.52000,230.78000,169067
2024-10-30 15:50:00,230.72000,230.72000,230.54000,230.64999,125628
2024-10-30 15:49:00,230.60001,230.75000,230.55000,230.72009,75838
2024-10-30 15:48:00,230.61450,230.67000,230.59000,230.62061,80752
2024-10-30 15:47:00,230.60001,230.62000,230.52000,230.61000,83841
2024-10-30 15:46:00,230.60500,230.66240,230.59500,230.60500,68562
2024-10-30 15:45:00,230.57001,230.68000,230.57001,230.61000,96903
2024-10-30 15:44:00,230.66499,230.67000,230.55000,230.55870,77934
2024-10-30 15:43:00,230.66000,230.70000,230.60001,230.66499,105099
2024-10-30 15:42:00,230.62000,230.68000,230.60001,230.67000,99342
2024-10-30 15:41:00,230.58501,230.66000,230.55499,230.62010,76143
2024-10-30 15:40:00,230.64500,230.66000,230.57001,230.58501,69804
2024-10-30 15:39:00,230.73170,230.73990,230.63000,230.64500,51755
2024-10-30 15:38:00,230.54871,230.78000,230.52000,230.74380,79585
2024-10-30 15:37:00,230.55000,230.59731,230.46001,230.55000,83070
2024-10-30 15:36:00,230.57001,230.62000,230.50000,230.56000,70447
2024-10-30 15:35:00,230.58000,230.61000,230.52000,230.57500,66920
2024-10-30 15:34:00,230.55850,230.61169,230.54500,230.57001,46925
2024-10-30 15:33:00,230.63989,230.64500,230.53999,230.53999,901055
2024-10-30 15:32:00,230.68500,230.70000,230.60001,230.64000,62087
2024-10-30 15:31:00,230.75000,230.79500,230.69000,230.69000,48948
2024-10-30 15:30:00,230.73000,230.79010,230.72000,230.73000,65985
2024-10-30 15:59:00,496.16000,496.51001,496.04001,496.38000,695989
2024-10-30 15:58:00,496.07999,496.25000,496.01999,496.17001,341856
2024-10-30 15:57:00,496.23999,496.29001,495.95001,496.07999,214021
2024-10-30 15:56:00,496.00000,496.50000,495.95001,496.25000,221056
2024-10-30 15:55:00,496.48999,496.60999,495.89001,496.01999,336326
2024-10-30 15:54:00,496.97000,497.09000,496.42999,496.48999,275551
2024-10-30 15:53:00,497.04001,497.07001,496.89999,496.96500,91849
2024-10-30 15:52:00,497.13000,497.28000,497.07001,497.07999,102698
2024-10-30 15:51:00,497.12000,497.15500,496.76001,497.10001,142841
2024-10-30 15:50:00,497.14999,497.17001,496.95001,497.13000,107786
2024-10-30 15:49:00,497.00000,497.26001,496.98999,497.14001,78581
2024-10-30 15:48:00,497.10999,497.14001,497.01999,497.01999,53884
